trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
189,0,189,0,10,392.03698000032455,392.03698000032455,0.061917600221931934,[0.19125],[0.26],[1],[0],[0],[1.4474673001095653],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
190,0,190,0,10,393.54464219976217,393.54464219976217,0.05293380003422499,[0.18875],[0.45875],[1],[0],[0],[2.953852499835193],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
191,0,191,0,5,396.54237300064415,396.54237300064415,0.03422420006245375,[0.21375],[0.01],[1],[0],[0],[1.174380199983716],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
192,0,192,0,5,397.7567030005157,397.7567030005157,0.03427929989993572,[-0.255],[0.215],[1],[0],[0],[1.33988649956882],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
193,0,193,0,10,399.17770450003445,399.17770450003445,0.059916699305176735,[0.40375],[-0.055],[1],[0],[0],[2.2962960992008448],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
194,0,194,0,10,401.53215450048447,401.53215450048447,0.05665460042655468,[-0.45125],[-0.25],[1],[0],[0],[2.0001603001728654],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
195,0,195,0,5,403.57131229992956,403.57131229992956,0.03315120004117489,[0.085],[-0.44375],[1],[0],[0],[1.5766417002305388],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
196,0,196,0,10,405.2286465000361,405.2286465000361,0.06420900020748377,[-0.37625],[0.225],[1],[0],[0],[1.5253801997750998],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
197,0,197,0,10,406.8196390001103,406.8196390001103,0.059121400117874146,[-0.18625],[0.3825],[1],[0],[0],[1.315666800364852],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
198,0,198,0,10,408.1975356005132,408.1975356005132,0.056918700225651264,[0.25375],[-0.44375],[1],[0],[0],[2.118579899892211],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
199,0,199,0,10,410.3777327006683,410.3777327006683,0.05438670050352812,[0.0275],[-0.4025],[1],[0],[0],[2.403787899762392],['target'],Participant_1_B,001,2023-09-15_12h01.37.790,Experiment_3_VisualSearch_New,2023.1.3,61.54490000741868,
